,Decoy,Item,Option_1,Option_2,Option_3,Choice,CatchTrials,Deliberation_RT,Choice_RT,Too_Slow,Survey_ID,CouplingCondition,PhantomCondition
6495,A,Leaf Blower,A_A,A,B,A,,10000,577.099999994,0,41970,Low coupling,Highly_desirable
6496,C,Baby crib,B,A,C_B,B,,10000,1407.40000001,0,41970,Low coupling,Highly_desirable
6497,F,Electric kettle,C,B,A,C,,10000,2736,0,41970,Low coupling,Highly_desirable
6498,S,Headlight bulbs,A,B,S_B,B,,10000,1822.3,0,41970,Low coupling,Highly_desirable
6499,P,Electric mop,B,A,P_A,A,,10000,430.099999994,0,41970,Low coupling,Highly_desirable
6500,S,Air Fryer Oven,A,B,S_A,A,,10000,374.100000024,0,40309,Low coupling,Undesirable
6501,F,Rechargeable AA batteries,B,A,C,C,,10000,687.600000024,0,40309,Low coupling,Undesirable
6502,P,Organic fertilizer,B,P_B,A,A,,10000,1531.69999999,0,40309,Low coupling,Undesirable
6503,A,Tire inflator,B,A,A_A,A,,10000,477.400000036,0,40309,Low coupling,Undesirable
6504,C,Lawn mower,A,B,C_A,A,,10000,833.199999988,0,40309,Low coupling,Undesirable
6505,A,Leaf Blower,B,A,A_B,A,,10000,522.100000024,0,40309,Low coupling,Undesirable
6506,C,Car vacuum,A,B,C_A,A,,10000,571.5,0,40309,Low coupling,Undesirable
6507,P,Baby stroller,B,P_A,A,B,,10000,121.100000024,0,40309,Low coupling,Undesirable
6508,F,Stun gun,A,B,C,C,,10000,576.599999964,0,40309,Low coupling,Undesirable
6509,S,Security camera,A,B,S_B,A,,10000,421.100000024,0,40309,Low coupling,Undesirable
6510,C,Mobility scooter,B,C_B,A,C_B,,10000,402.900000036,0,40309,Low coupling,Undesirable
6511,S,Vacuum,A,B,S_A,S_A,,10000,344.900000036,0,40309,Low coupling,Undesirable
6512,F,Cordless home phone,A,C,B,C,,10000,406.099999964,0,40309,Low coupling,Undesirable
6513,P,Electric mop,P_B,B,A,B,,10000,3912.5,0,40309,Low coupling,Undesirable
6514,A,Smart bulb,B,A,A_A,A,,10000,1314,0,40309,Low coupling,Undesirable
6515,F,Pepper spray,C,A,B,C,,10000,567.899999976,0,40309,Low coupling,Undesirable
6516,A,Rash cream,A_A,A,B,B,,10000,450.300000012,0,40309,Low coupling,Undesirable
6517,P,Solar panel system,A,P_B,B,B,,10000,1955,0,40309,Low coupling,Undesirable
6518,S,Headlight bulbs,S_B,A,B,S_B,,10000,2250,0,40309,Low coupling,Undesirable
6519,C,Pesticide,B,C_A,A,B,,10000,376.599999964,0,40309,Low coupling,Undesirable
6520,F,Megaphone,C,A,B,C,,10000,547.699999988,0,40309,Low coupling,Undesirable
6521,P,Air purifier,A,B,P_A,B,,10000,646.199999988,0,40309,Low coupling,Undesirable
6522,S,Metal detector,S_A,A,B,B,,10000,1861.79999995,0,40309,Low coupling,Undesirable
6523,A,UV lamp,B,A,A_A,B,,10000,1005.5,0,40309,Low coupling,Undesirable
6524,C,White noise machine,B,A,C_A,B,,10000,493.099999964,0,40309,Low coupling,Undesirable
6525,A,Slow cooker,A,A_A,B,B,,10000,1230.90000004,0,40309,Low coupling,Undesirable
6526,F,Automatic pet feeder,A,C,B,C,,10000,1410.5,0,40309,Low coupling,Undesirable
6527,S,Night light,S_B,A,B,B,,10000,694.199999988,0,40309,Low coupling,Undesirable
6528,C,Baby crib,C_A,A,B,B,,10000,1541.09999996,0,40309,Low coupling,Undesirable
6529,P,Outdoor solar lights,B,A,P_B,B,,10000,2966.30000001,0,40309,Low coupling,Undesirable
6530,C,Puree machine,B,C_B,A,B,,10000,1150.10000002,0,40309,Low coupling,Undesirable
6531,S,Pressure washer,S_A,A,B,A,,10000,597.899999976,0,40309,Low coupling,Undesirable
6532,A,Walker with seat,B,A_B,A,A,,10000,1197.80000001,0,40309,Low coupling,Undesirable
6533,P,Dehumidifier,B,A,P_B,B,,10000,2204.29999995,0,40309,Low coupling,Undesirable
6534,F,LED strip lights,A,B,C,C,,10000,570.399999976,0,40309,Low coupling,Undesirable
6535,A,Clothes Steamer,A_A,A,B,A_A,,10000,658.599999964,0,40309,Low coupling,Undesirable
6536,C,Water heater,A,B,C_B,B,,10000,714.899999976,0,40309,Low coupling,Undesirable
6537,P,Wifi extender,B,P_B,A,A,,10000,3715.30000001,0,40309,Low coupling,Undesirable
6538,F,Baby rocker,B,C,A,C,,10000,459.600000024,0,40309,Low coupling,Undesirable
6539,S,Odor neutralizer,S_B,A,B,B,,10000,794.900000036,0,40309,Low coupling,Undesirable
6540,C,Insect repellent,C_A,A,B,B,,10000,1110.60000002,0,40309,Low coupling,Undesirable
6541,S,Air mattress,S_A,B,A,B,,10000,622.100000024,0,40309,Low coupling,Undesirable
6542,P,Paint sprayer,P_B,B,A,B,,10000,1252.5,0,40309,Low coupling,Undesirable
6543,A,Car seat,A_B,A,B,A,,10000,649.899999976,0,40309,Low coupling,Undesirable
6544,F,Wagon cart,A,B,C,B,,10000,440,0,40309,Low coupling,Undesirable
6545,P,Countertop blender,B,P_B,A,B,,10000,3649.30000001,0,40309,Low coupling,Undesirable
6546,C,Smart lock,A,C_A,B,B,,10000,1966,0,40309,Low coupling,Undesirable
6547,F,Protein powder,C,B,A,C,,10000,2198.59999996,0,40309,Low coupling,Undesirable
6548,S,Baby high chair,B,A,S_A,A,,10000,728,0,40309,Low coupling,Undesirable
6549,A,Cloth diapers,B,A,A_B,B,,10000,1436.39999998,0,40309,Low coupling,Undesirable
6550,C,Lawn mower,A,C_B,B,B,,10000,1487.30000001,0,40309,Low coupling,Undesirable
6551,P,Paint sprayer,A,B,P_A,A,,10000,976.899999976,0,40309,Low coupling,Undesirable
6552,A,Tire inflator,A,B,A_B,A,,10000,766.800000012,0,40309,Low coupling,Undesirable
6553,F,Protein powder,B,A,C,C,,10000,461.699999988,0,40309,Low coupling,Undesirable
6554,S,Security camera,B,S_A,A,B,,10000,346.900000036,0,40309,Low coupling,Undesirable
6555,C,Smart lock,A,C_B,B,B,,10000,471.399999976,0,40309,Low coupling,Undesirable
6556,F,Rechargeable AA batteries,C,B,A,C,,10000,2064.59999996,0,40309,Low coupling,Undesirable
6557,A,Rash cream,B,A,A_B,B,,10000,350.899999976,0,40309,Low coupling,Undesirable
6558,P,Outdoor solar lights,B,P_A,A,B,,10000,1819.59999996,0,40309,Low coupling,Undesirable
6559,S,Night light,A,B,S_A,A,,10000,393.300000012,0,40309,Low coupling,Undesirable
6560,A,Cloth diapers,B,A_A,A,A,,10000,3477,0,40309,Low coupling,Undesirable
6561,C,Car vacuum,C_B,A,B,B,,10000,382.399999976,0,40309,Low coupling,Undesirable
6562,P,Air purifier,A,P_B,B,B,,10000,1951.89999998,0,40309,Low coupling,Undesirable
6563,F,Cordless home phone,A,B,C,C,,10000,717,0,40309,Low coupling,Undesirable
6564,S,Pressure washer,S_B,B,A,S_B,,10000,772.800000012,0,40309,Low coupling,Undesirable
6565,C,Insect repellent,A,C_B,B,B,,10000,621.800000012,0,40309,Low coupling,Undesirable
6566,P,Organic fertilizer,A,P_A,B,B,,10000,2030.30000001,0,40309,Low coupling,Undesirable
6567,S,Vacuum,B,S_B,A,S_B,,10000,798.400000036,0,40309,Low coupling,Undesirable
6568,A,Clothes Steamer,A,A_B,B,A,,10000,364.199999988,0,40309,Low coupling,Undesirable
6569,F,LED strip lights,B,C,A,C,,10000,504.300000012,0,40309,Low coupling,Undesirable
6570,A,Car seat,A_A,B,A,A,,10000,497,0,40309,Low coupling,Undesirable
6571,P,Electric mop,B,A,P_A,B,,10000,2268.29999995,0,40309,Low coupling,Undesirable
6572,C,Puree machine,B,A,C_A,A,,10000,432.600000024,0,40309,Low coupling,Undesirable
6573,S,Metal detector,A,S_B,B,S_B,,10000,474.600000024,0,40309,Low coupling,Undesirable
6574,F,Inflatable baby pool,C,A,B,C,,10000,2074.60000002,0,40309,Low coupling,Undesirable
6575,C,White noise machine,B,C_B,A,B,,10000,2583.60000002,0,40309,Low coupling,Undesirable
6576,A,Leaf Blower,B,A,A_A,A,,10000,1101.5,0,40309,Low coupling,Undesirable
6577,S,Headlight bulbs,B,A,S_A,A,,10000,949,0,40309,Low coupling,Undesirable
6578,P,Dehumidifier,P_A,A,B,B,,10000,2450.5,0,40309,Low coupling,Undesirable
6579,F,Pepper spray,A,C,B,C,,10000,349.300000012,0,40309,Low coupling,Undesirable
6580,C,Baby crib,A,C_B,B,B,,10000,1009.80000001,0,40309,Low coupling,Undesirable
6581,F,Wagon cart,C,B,A,C,,10000,358.400000036,0,40309,Low coupling,Undesirable
6582,A,Walker with seat,A_A,B,A,A,,10000,458.299999952,0,40309,Low coupling,Undesirable
6583,P,Wifi extender,B,A,P_A,B,,10000,1031.5,0,40309,Low coupling,Undesirable
6584,S,Odor neutralizer,A,S_A,B,B,,10000,1219,0,40309,Low coupling,Undesirable
6585,C,Mobility scooter,C_A,A,B,A,,10000,359.100000024,0,40309,Low coupling,Undesirable
6586,F,Megaphone,B,A,C,C,,10000,612.799999952,0,40309,Low coupling,Undesirable
6587,P,Countertop blender,B,A,P_A,A,,10000,1175.89999998,0,40309,Low coupling,Undesirable
6588,A,Slow cooker,A,A_B,B,B,,10000,1585.80000001,0,40309,Low coupling,Undesirable
6589,S,Air Fryer Oven,S_B,B,A,B,,10000,1035.39999998,0,40309,Low coupling,Undesirable
6590,F,Stun gun,A,C,B,C,,10000,546.600000024,0,40309,Low coupling,Undesirable
6591,P,Solar panel system,B,A,P_A,B,,10000,1312.39999998,0,40309,Low coupling,Undesirable
6592,C,Water heater,A,B,C_A,A,,10000,829.899999976,0,40309,Low coupling,Undesirable
6593,S,Air mattress,B,S_B,A,B,,10000,1631.39999998,0,40309,Low coupling,Undesirable
6594,A,UV lamp,A,A_B,B,B,,10000,190.5,0,40309,Low coupling,Undesirable
6595,A,Smart bulb,B,A,A_B,B,,10000,373.100000024,0,40309,Low coupling,Undesirable
6596,C,Pesticide,C_B,A,B,B,,10000,740.899999976,0,40309,Low coupling,Undesirable
6597,S,Baby high chair,B,A,S_B,S_B,,10000,496.600000024,0,40309,Low coupling,Undesirable
6598,P,Baby stroller,A,P_B,B,A,,10000,1242.39999998,0,40309,Low coupling,Undesirable
6599,F,Alarm clock,B,C,A,C,,10000,539.699999988,0,40309,Low coupling,Undesirable
6600,P,Paint sprayer,B,A,P_A,A,,10000,825.200000003,0,41900,Low coupling,Undesirable
6601,S,Vacuum,B,A,S_B,A,,10000,578.800000004,0,41900,Low coupling,Undesirable
6602,C,White noise machine,C_A,A,B,B,,10000,876.699999996,0,41900,Low coupling,Undesirable
6603,A,UV lamp,B,A,A_A,A,,10000,1812.59999999,0,41900,Low coupling,Undesirable
6604,F,Fire extinguisher,B,C,A,B,,10000,932.400000006,0,41900,Low coupling,Undesirable
6605,S,Night light,A,S_A,B,S_A,,10000,428,0,41900,Low coupling,Undesirable
6606,A,Cloth diapers,B,A,A_A,B,,10000,1284.2,0,41900,Low coupling,Undesirable
6607,C,Pesticide,C_B,A,B,B,,10000,1629.2,0,41900,Low coupling,Undesirable
6608,P,Solar panel system,B,A,P_A,B,,10000,515.300000004,0,41900,Low coupling,Undesirable
6609,F,Baby rocker,B,A,C,C,,10000,996.5,0,41900,Low coupling,Undesirable
6610,S,Baby high chair,A,B,S_A,B,,10000,2885.6,0,41900,Low coupling,Undesirable
6611,P,Baby stroller,P_B,B,A,B,,10000,1010.7,0,41900,Low coupling,Undesirable
6612,F,Kitchen Scale,A,C,B,C,,10000,2771.4,0,41900,Low coupling,Undesirable
6613,A,Rash cream,A_B,A,B,B,,10000,1412,0,41900,Low coupling,Undesirable
6614,C,Baby crib,C_B,A,B,B,,10000,2484.1,0,41900,Low coupling,Undesirable
6615,F,Hearing aid,B,A,C,C,,10000,59.799999997,0,41900,Low coupling,Undesirable
6616,P,Dehumidifier,P_B,B,A,B,,10000,405.399999999,0,41900,Low coupling,Undesirable
6617,A,Slow cooker,A,B,A_A,B,,10000,476.800000004,0,41900,Low coupling,Undesirable
6618,S,Air mattress,A,S_A,B,B,,10000,3565,0,41900,Low coupling,Undesirable
6619,C,Insect repellent,B,A,C_A,B,,10000,428.5,0,41900,Low coupling,Undesirable
6620,A,Car seat,B,A,A_A,A,,10000,333.200000003,0,41900,Low coupling,Undesirable
6621,C,Puree machine,B,A,C_A,B,,10000,443.800000004,0,41900,Low coupling,Undesirable
6622,S,Pressure washer,A,S_B,B,A,,10000,3828.4,0,41900,Low coupling,Undesirable
6623,P,Electric mop,A,B,P_A,B,,10000,300.899999999,0,41900,Low coupling,Undesirable
6624,F,Megaphone,A,C,B,C,,10000,691.899999999,0,41900,Low coupling,Undesirable
6625,P,Countertop blender,P_B,A,B,B,,10000,620.399999999,0,41900,Low coupling,Undesirable
6626,C,Lawn mower,B,A,C_B,B,,10000,4157,0,41900,Low coupling,Undesirable
6627,A,Walker with seat,A_B,A,B,A,,10000,477.100000001,0,41900,Low coupling,Undesirable
6628,S,Headlight bulbs,S_B,B,A,A,,10000,114.600000001,0,41900,Low coupling,Undesirable
6629,F,Wagon cart,B,A,C,A,,10000,116.299999997,0,41900,Low coupling,Undesirable
6630,F,Automatic pet feeder,A,C,B,C,,10000,613.700000003,0,41900,Low coupling,Undesirable
6631,P,Organic fertilizer,P_A,A,B,A,,10000,2792,0,41900,Low coupling,Undesirable
6632,A,Tire inflator,A_B,B,A,B,,10000,3347.90000001,0,41900,Low coupling,Undesirable
6633,C,Mobility scooter,C_B,B,A,B,,10000,2570.2,0,41900,Low coupling,Undesirable
6634,S,Metal detector,A,S_B,B,B,,10000,2861.8,0,41900,Low coupling,Undesirable
6635,F,Stun gun,C,A,B,C,,10000,820.300000004,0,41900,Low coupling,Undesirable
6636,A,Smart bulb,A_B,A,B,A,,10000,5316.9,1,41900,Low coupling,Undesirable
6637,C,Smart lock,A,B,C_B,C_B,,10000,3798.4,0,41900,Low coupling,Undesirable
6638,P,Wifi extender,B,A,P_A,A,,10000,6171.9,1,41900,Low coupling,Undesirable
6639,S,Security camera,A,B,S_B,A,,10000,410.900000006,0,41900,Low coupling,Undesirable
6640,A,Clothes Steamer,A_B,B,A,B,,10000,540.700000003,0,41900,Low coupling,Undesirable
6641,P,Air purifier,A,P_A,B,A,,10000,323.900000006,0,41900,Low coupling,Undesirable
6642,S,Odor neutralizer,A,B,S_B,A,,10000,819.200000003,0,41900,Low coupling,Undesirable
6643,C,Water heater,C_B,B,A,A,,10000,2813.4,0,41900,Low coupling,Undesirable
6644,F,Microwave,A,B,C,C,,10000,293.300000004,0,41900,Low coupling,Undesirable
6645,A,Leaf Blower,A,B,A_A,B,,10000,4531.6,0,41900,Low coupling,Undesirable
6646,P,Outdoor solar lights,B,A,P_A,B,,10000,937.200000003,0,41900,Low coupling,Undesirable
6647,C,Car vacuum,C_B,B,A,B,,10000,252.5,0,41900,Low coupling,Undesirable
6648,F,LED strip lights,B,A,C,C,,10000,1236.8,0,41900,Low coupling,Undesirable
6649,S,Air Fryer Oven,A,S_B,B,B,,10000,1157.09999999,0,41900,Low coupling,Undesirable
6650,P,Wifi extender,P_B,A,B,A,,10000,1036.5,0,41900,Low coupling,Undesirable
6651,S,Night light,B,A,S_B,B,,10000,269.399999999,0,41900,Low coupling,Undesirable
6652,F,Fire extinguisher,C,B,A,C,,10000,1992.2,0,41900,Low coupling,Undesirable
6653,C,Mobility scooter,C_A,B,A,B,,10000,1661.7,0,41900,Low coupling,Undesirable
6654,A,Leaf Blower,B,A,A_B,A,,10000,2179.2,0,41900,Low coupling,Undesirable
6655,C,Insect repellent,B,A,C_B,A,,10000,381.5,0,41900,Low coupling,Undesirable
6656,S,Headlight bulbs,A,B,S_A,A,,10000,739.699999996,0,41900,Low coupling,Undesirable
6657,F,LED strip lights,A,B,C,C,,10000,1414.4,0,41900,Low coupling,Undesirable
6658,A,Cloth diapers,A_B,B,A,A,,10000,2173.2,0,41900,Low coupling,Undesirable
6659,P,Baby stroller,B,P_A,A,B,,10000,3161.6,0,41900,Low coupling,Undesirable
6660,C,Baby crib,A,B,C_A,A,,10000,2132.6,0,41900,Low coupling,Undesirable
6661,P,Paint sprayer,P_B,B,A,B,,10000,931.699999996,0,41900,Low coupling,Undesirable
6662,A,Car seat,A,A_B,B,A,,10000,2140,0,41900,Low coupling,Undesirable
6663,F,Wagon cart,C,A,B,C,,10000,387.899999999,0,41900,Low coupling,Undesirable
6664,S,Pressure washer,B,A,S_A,A,,10000,1660.1,0,41900,Low coupling,Undesirable
6665,C,Puree machine,C_B,B,A,B,,10000,1676.59999999,0,41900,Low coupling,Undesirable
6666,S,Odor neutralizer,B,A,S_A,B,,10000,2604.7,0,41900,Low coupling,Undesirable
6667,P,Organic fertilizer,A,P_B,B,A,,10000,1611.3,0,41900,Low coupling,Undesirable
6668,F,Automatic pet feeder,C,A,B,C,,10000,3493.4,0,41900,Low coupling,Undesirable
6669,A,Walker with seat,B,A_A,A,A,,10000,980.399999999,0,41900,Low coupling,Undesirable
6670,C,Pesticide,B,C_A,A,A,,10000,437.200000003,0,41900,Low coupling,Undesirable
6671,A,Rash cream,A_A,B,A,A,,10000,476.799999997,0,41900,Low coupling,Undesirable
6672,F,Electric kettle,A,B,C,C,,10000,1865.2,0,41900,Low coupling,Undesirable
6673,P,Countertop blender,B,P_A,A,B,,10000,4139.3,0,41900,Low coupling,Undesirable
6674,S,Air mattress,B,S_B,A,B,,10000,3427.9,0,41900,Low coupling,Undesirable
6675,S,Baby high chair,S_B,A,B,S_B,,10000,444.200000003,0,41900,Low coupling,Undesirable
6676,A,Tire inflator,A_A,B,A,A,,10000,853.299999997,0,41900,Low coupling,Undesirable
6677,F,Stun gun,A,B,C,C,,10000,771.300000004,0,41900,Low coupling,Undesirable
6678,C,White noise machine,A,C_B,B,C_B,,10000,476.600000001,0,41900,Low coupling,Undesirable
6679,P,Solar panel system,A,P_B,B,B,,10000,621.799999997,0,41900,Low coupling,Undesirable
6680,A,Smart bulb,B,A,A_A,A,,10000,427.100000001,0,41900,Low coupling,Undesirable
6681,C,Water heater,B,A,C_A,A,,10000,331.399999999,0,41900,Low coupling,Undesirable
6682,P,Air purifier,P_B,B,A,A,,10000,315.799999997,0,41900,Low coupling,Undesirable
6683,S,Air Fryer Oven,B,A,S_A,A,,10000,1477.7,0,41900,Low coupling,Undesirable
6684,F,Megaphone,A,C,B,C,,10000,229.100000001,0,41900,Low coupling,Undesirable
6685,P,Outdoor solar lights,A,P_B,B,A,,10000,404.799999997,0,41900,Low coupling,Undesirable
6686,S,Metal detector,S_A,B,A,B,,10000,227.700000003,0,41900,Low coupling,Undesirable
6687,C,Lawn mower,C_A,A,B,A,,10000,763.699999996,0,41900,Low coupling,Undesirable
6688,A,Clothes Steamer,A_A,A,B,A,,10000,1076.6,0,41900,Low coupling,Undesirable
6689,F,Baby rocker,A,C,B,B,,10000,706.5,0,41900,Low coupling,Undesirable
6690,P,Dehumidifier,P_A,A,B,A,,10000,86.6000000015,0,41900,Low coupling,Undesirable
6691,F,Hearing aid,A,C,B,C,,10000,943.899999999,0,41900,Low coupling,Undesirable
6692,C,Car vacuum,B,A,C_A,A,,10000,2877.1,0,41900,Low coupling,Undesirable
6693,S,Vacuum,B,S_A,A,S_A,,10000,1685,0,41900,Low coupling,Undesirable
6694,A,UV lamp,A,A_B,B,A,,10000,428.400000006,0,41900,Low coupling,Undesirable
6695,P,Electric mop,P_B,B,A,B,,10000,1468.5,0,41900,Low coupling,Undesirable
6696,S,Security camera,A,B,S_A,S_A,,10000,1947.5,0,41900,Low coupling,Undesirable
6697,F,Cordless home phone,B,C,A,C,,10000,669,0,41900,Low coupling,Undesirable
6698,A,Slow cooker,A_B,A,B,B,,10000,403.700000003,0,41900,Low coupling,Undesirable
6699,C,Smart lock,B,C_A,A,B,,10000,507.599999994,0,41900,Low coupling,Undesirable
6700,C,Puree machine,A,B,C_B,A,,10000,23930.8,1,43993,High coupling,Weakly_desirable
6701,F,Thermometer gun,A,C,B,A,,10000,348.899999999,0,43993,High coupling,Weakly_desirable
6702,S,Night light,S_B,B,A,S_B,,10000,898.200000003,0,43993,High coupling,Weakly_desirable
6703,P,Dehumidifier,A,B,P_B,A,,10000,134.300000004,0,43993,High coupling,Weakly_desirable
6704,A,Car seat,B,A,A_B,B,,10000,706.199999996,0,43993,High coupling,Weakly_desirable
6705,A,Walker with seat,A_A,A,B,A_A,,10000,4404,0,43993,High coupling,Weakly_desirable
6706,F,Outdoor TV antenna,B,A,C,B,,10000,4998.3,0,43993,High coupling,Weakly_desirable
6707,P,Wifi extender,A,B,P_A,A,,10000,7580.5,1,43993,High coupling,Weakly_desirable
6708,C,Baby crib,C_B,B,A,C_B,,10000,845.100000001,0,43993,High coupling,Weakly_desirable
6709,S,Vacuum,A,S_B,B,A,,10000,1900.7,0,43993,High coupling,Weakly_desirable
6710,A,Rash cream,A,B,A_B,A,,10000,628.100000001,0,43993,High coupling,Weakly_desirable
6711,S,Headlight bulbs,A,S_B,B,S_B,,10000,775.399999999,0,43993,High coupling,Weakly_desirable
6712,C,Mobility scooter,C_B,A,B,A,,10000,1118.1,0,43993,High coupling,Weakly_desirable
6713,P,Outdoor solar lights,A,P_B,B,A,,10000,2272.5,0,43993,High coupling,Weakly_desirable
6714,F,Protein powder,B,A,C,B,,10000,1914.5,0,43993,High coupling,Weakly_desirable
6715,F,Stun gun,C,A,B,C,,10000,3451.1,0,43993,High coupling,Weakly_desirable
6716,P,Paint sprayer,P_B,B,A,A,,10000,491.300000004,0,43993,High coupling,Weakly_desirable
6717,A,Cloth diapers,A,B,A_A,A,,10000,297.199999996,0,43993,High coupling,Weakly_desirable
6718,S,Metal detector,A,S_B,B,A,,10000,721.700000003,0,43993,High coupling,Weakly_desirable
6719,C,Insect repellent,B,A,C_A,B,,10000,2347.1,0,43993,High coupling,Weakly_desirable
6720,C,Pesticide,A,B,C_A,A,,10000,2315.2,0,43993,High coupling,Weakly_desirable
6721,S,Odor neutralizer,B,A,S_B,B,,10000,876.899999999,0,43993,High coupling,Weakly_desirable
6722,A,Smart bulb,A,A_A,B,A,,10000,3529.2,0,43993,High coupling,Weakly_desirable
6723,P,Electric mop,P_A,A,B,B,,10000,973.5,0,43993,High coupling,Weakly_desirable
6724,F,Garbage disposal,A,C,B,B,,10000,732.400000006,0,43993,High coupling,Weakly_desirable
6725,P,Countertop blender,P_A,B,A,A,,10000,707.899999999,0,43993,High coupling,Weakly_desirable
6726,A,Clothes Steamer,B,A_B,A,B,,10000,678.800000004,0,43993,High coupling,Weakly_desirable
6727,C,Car vacuum,C_A,A,B,C_A,,10000,2398.5,0,43993,High coupling,Weakly_desirable
6728,S,Air Fryer Oven,A,B,S_B,A,,10000,4928.2,0,43993,High coupling,Weakly_desirable
6729,F,Rechargeable AA batteries,C,A,B,C,,10000,562.699999996,0,43993,High coupling,Weakly_desirable
6730,S,Air mattress,S_A,B,A,S_A,,10000,2523.5,0,43993,High coupling,Weakly_desirable
6731,C,Water heater,A,B,C_B,A,,10000,622.899999999,0,43993,High coupling,Weakly_desirable
6732,A,Slow cooker,A,A_B,B,A,,10000,741.200000003,0,43993,High coupling,Weakly_desirable
6733,P,Air purifier,A,P_B,B,A,,10000,1735.3,0,43993,High coupling,Weakly_desirable
6734,F,Megaphone,B,A,C,B,,10000,2504.9,0,43993,High coupling,Weakly_desirable
6735,P,Baby stroller,B,A,P_A,B,,10000,921.800000004,0,43993,High coupling,Weakly_desirable
6736,S,Baby high chair,S_A,B,A,S_A,,10000,532.300000004,0,43993,High coupling,Weakly_desirable
6737,A,UV lamp,A_A,B,A,A_A,,10000,1348.6,0,43993,High coupling,Weakly_desirable
6738,C,Lawn mower,B,C_B,A,B,,10000,568.099999994,0,43993,High coupling,Weakly_desirable
6739,F,Kitchen Scale,B,A,C,B,,10000,612.600000001,0,43993,High coupling,Weakly_desirable
6740,S,Security camera,B,A,S_B,A,,10000,615.300000004,0,43993,High coupling,Weakly_desirable
6741,A,Tire inflator,A_B,B,A,B,,10000,628.299999997,0,43993,High coupling,Weakly_desirable
6742,C,Smart lock,B,C_B,A,A,,10000,554.200000003,0,43993,High coupling,Weakly_desirable
6743,F,Inflatable baby pool,A,C,B,C,,10000,572.799999997,0,43993,High coupling,Weakly_desirable
6744,P,Solar panel system,B,A,P_B,A,,10000,2149.09999999,0,43993,High coupling,Weakly_desirable
6745,C,White noise machine,B,A,C_A,A,,10000,603.899999999,0,43993,High coupling,Weakly_desirable
6746,F,Microwave,A,B,C,B,,10000,521.799999997,0,43993,High coupling,Weakly_desirable
6747,A,Leaf Blower,A,B,A_B,A,,10000,193.300000004,0,43993,High coupling,Weakly_desirable
6748,S,Pressure washer,S_B,B,A,A,,10000,743,0,43993,High coupling,Weakly_desirable
6749,P,Organic fertilizer,B,A,P_A,A,,10000,631.600000001,0,43993,High coupling,Weakly_desirable
6750,S,Security camera,A,B,S_A,B,,10000,743,0,43993,High coupling,Weakly_desirable
6751,C,White noise machine,B,C_B,A,B,,10000,5988.8,1,43993,High coupling,Weakly_desirable
6752,F,Megaphone,B,A,C,A,,10000,722.399999999,0,43993,High coupling,Weakly_desirable
6753,A,UV lamp,A_B,B,A,B,,10000,699.5,0,43993,High coupling,Weakly_desirable
6754,P,Wifi extender,B,A,P_B,B,,10000,849.700000003,0,43993,High coupling,Weakly_desirable
6755,S,Odor neutralizer,S_A,B,A,S_A,,10000,630,0,43993,High coupling,Weakly_desirable
6756,P,Baby stroller,A,P_B,B,A,,10000,1072.7,0,43993,High coupling,Weakly_desirable
6757,F,Wagon cart,C,B,A,B,,10000,916.300000004,0,43993,High coupling,Weakly_desirable
6758,A,Slow cooker,B,A_A,A,A_A,,10000,2141.3,0,43993,High coupling,Weakly_desirable
6759,C,Lawn mower,A,C_A,B,C_A,,10000,8840.6,1,43993,High coupling,Weakly_desirable
6760,A,Car seat,A,A_A,B,A,,10000,637.600000001,0,43993,High coupling,Weakly_desirable
6761,C,Baby crib,B,C_A,A,C_A,,10000,924.100000001,0,43993,High coupling,Weakly_desirable
6762,F,Protein powder,B,C,A,B,,10000,751.100000001,0,43993,High coupling,Weakly_desirable
6763,P,Solar panel system,P_A,B,A,A,,10000,7080.59999999,1,43993,High coupling,Weakly_desirable
6764,S,Baby high chair,A,S_B,B,B,,10000,1128.9,0,43993,High coupling,Weakly_desirable
6765,F,Kitchen Scale,B,C,A,B,,10000,595.899999999,0,43993,High coupling,Weakly_desirable
6766,P,Paint sprayer,B,P_A,A,B,,10000,667.5,0,43993,High coupling,Weakly_desirable
6767,C,Insect repellent,C_B,A,B,C_B,,10000,1373.5,0,43993,High coupling,Weakly_desirable
6768,S,Pressure washer,A,B,S_A,A,,10000,834.899999999,0,43993,High coupling,Weakly_desirable
6769,A,Walker with seat,A_B,A,B,A,,10000,116.299999997,0,43993,High coupling,Weakly_desirable
6770,F,Rechargeable AA batteries,B,A,C,B,,10000,766,0,43993,High coupling,Weakly_desirable
6771,C,Puree machine,C_A,A,B,C_A,,10000,662.300000004,0,43993,High coupling,Weakly_desirable
6772,P,Electric mop,B,A,P_B,B,,10000,2014.2,0,43993,High coupling,Weakly_desirable
6773,A,Cloth diapers,B,A,A_B,B,,10000,663.200000003,0,43993,High coupling,Weakly_desirable
6774,S,Air mattress,B,S_B,A,A,,10000,1011.3,0,43993,High coupling,Weakly_desirable
6775,C,Pesticide,C_B,A,B,C_B,,10000,672.199999996,0,43993,High coupling,Weakly_desirable
6776,A,Tire inflator,A,A_A,B,A,,10000,581.399999999,0,43993,High coupling,Weakly_desirable
6777,F,Hearing aid,C,A,B,C,,10000,1086.8,0,43993,High coupling,Weakly_desirable
6778,P,Dehumidifier,B,A,P_A,B,,10000,1043.4,0,43993,High coupling,Weakly_desirable
